date,new_cases,new_deaths,hosp_patients,positive_rate
2020-02-16,27.0,1.0,0.0,0.155
2020-02-23,80.0,0.0,0.0,0.1442857142857143
2020-03-01,107.0,5.0,0.0,0.16428571428571428
2020-03-08,216.0,0.0,0.0,0.06285714285714286
2020-03-15,325.0,16.0,0.0,0.06285714285714286
2020-03-22,266.0,18.0,0.0,0.04857142857142858
2020-03-29,647.0,12.0,0.0,0.0642857142857143
2020-04-05,1578.0,18.0,0.0,0.12000000000000001
2020-04-12,3477.0,28.0,0.0,0.13142857142857142
2020-04-19,3613.0,63.0,0.0,0.13
2020-04-26,2821.0,187.0,0.0,0.10142857142857142
2020-05-03,1657.0,144.0,4726.285714285715,0.06714285714285714
2020-05-10,908.0,121.0,4898.0,0.05
2020-05-17,538.0,131.0,3712.4285714285716,0.014285714285714287
2020-05-24,265.0,76.0,2643.0,0.01
2020-05-31,301.0,71.0,1565.857142857143,0.01
2020-06-07,290.0,25.0,1116.142857142857,0.01
2020-06-14,288.0,9.0,847.8571428571429,0.01
2020-06-21,435.0,28.0,642.4285714285714,0.015714285714285715
2020-06-28,526.0,18.0,567.0,0.015714285714285715
2020-07-05,1132.0,6.0,656.8571428571429,0.028571428571428574
2020-07-12,1980.0,5.0,941.0,0.04142857142857143
2020-07-19,3140.0,3.0,1523.2857142857142,0.045714285714285714
2020-07-26,4740.0,11.0,2450.5714285714284,0.060000000000000005
2020-08-02,7307.0,15.0,3665.4285714285716,0.07
2020-08-09,10094.0,29.0,4806.857142857143,0.06857142857142857
2020-08-16,7931.0,48.0,5753.857142857143,0.05714285714285715
2020-08-23,7033.0,88.0,5983.285714285715,0.045714285714285714
2020-08-30,5517.0,88.0,5689.428571428572,0.045714285714285714
2020-09-06,4155.0,93.0,5160.285714285715,0.03571428571428571
2020-09-13,3799.0,82.0,4408.285714285715,0.03
2020-09-20,3439.0,61.0,3874.0,0.03
2020-09-27,3033.0,45.0,3644.714285714286,0.03428571428571429
2020-10-04,3649.0,52.0,3349.5714285714284,0.02142857142857143
2020-10-11,3573.0,30.0,3044.714285714286,0.02857142857142857
2020-10-18,3744.0,43.0,3018.0,0.03
2020-10-25,3878.0,41.0,2987.1428571428573,0.03
2020-11-01,4612.0,55.0,3067.4285714285716,0.032857142857142856
2020-11-08,5940.0,46.0,3384.4285714285716,0.045714285714285714
2020-11-15,9591.0,71.0,4201.428571428572,0.054285714285714284
2020-11-22,13502.0,91.0,5531.857142857143,0.06571428571428571
2020-11-29,14474.0,132.0,7290.285714285715,0.06714285714285714
2020-12-06,15445.0,209.0,8298.857142857143,0.06142857142857143
2020-12-13,17189.0,247.0,9012.285714285714,0.06142857142857143
2020-12-20,18593.0,311.0,9811.285714285714,0.06
2020-12-27,21432.0,340.0,10349.142857142857,0.06285714285714286
2021-01-03,26535.0,335.0,11266.42857142857,0.09285714285714286
2021-01-10,42905.0,448.0,12662.142857142857,0.09142857142857143
2021-01-17,41542.0,450.0,14330.142857142857,0.10857142857142857
2021-01-24,36519.0,573.0,14752.857142857143,0.08
2021-01-31,24705.0,635.0,14504.714285714286,0.06
2021-02-07,15472.0,684.0,13754.142857142857,0.047142857142857146
2021-02-14,10792.0,574.0,11943.285714285714,0.03571428571428571
2021-02-21,9815.0,505.0,10075.0,0.02857142857142857
2021-02-28,7176.0,443.0,8472.857142857143,0.022857142857142857
2021-03-07,7219.0,367.0,7068.428571428572,0.02
2021-03-14,7914.0,333.0,6157.285714285715,0.02
2021-03-21,8875.0,252.0,5909.857142857143,0.024285714285714282
2021-03-28,11833.0,219.0,6166.428571428572,0.03
2021-04-04,16711.0,190.0,6980.714285714285,0.04
2021-04-11,20961.0,161.0,8219.42857142857,0.05285714285714286
2021-04-18,27766.0,240.0,9188.42857142857,0.06
2021-04-25,32811.0,291.0,10748.714285714286,0.06
2021-05-02,35999.0,448.0,12571.857142857143,0.06714285714285714
2021-05-09,37182.0,515.0,14401.857142857143,0.08285714285714285
2021-05-16,43131.0,632.0,16136.285714285714,0.06857142857142857
2021-05-23,35689.0,804.0,17157.14285714286,0.06142857142857143
2021-05-30,25623.0,655.0,16807.0,0.05
2021-06-06,17914.0,607.0,15076.714285714286,0.03428571428571429
2021-06-13,12830.0,497.0,12627.142857142857,0.03
2021-06-20,10056.0,352.0,9969.42857142857,0.027142857142857142
2021-06-27,10469.0,246.0,7869.857142857143,0.02857142857142857
2021-07-04,11078.0,179.0,6689.857142857143,0.02857142857142857
2021-07-11,13881.0,107.0,6043.142857142857,0.032857142857142856
2021-07-18,20822.0,93.0,6370.857142857143,0.04
